
Bulbizarre,Plante,60,20,Feu
Herbizarre,Plante,60,20,Feu
Florizarre,Plante,60,20,Feu
Salameche,Feu,60,20,Eau
Reptincel,Feu,60,20,Eau
Dracaufeu,Feu,60,20,Eau
Carapuce,Eau,60,20,Electrik
Carabaffe,Eau,60,20,Electrik
Tortank,Eau,60,20,Electrik
Chenipan,Insecte,60,20,Combat
Chrysacier,Insecte,60,20,Combat
Papilusion,Insecte,60,20,Combat
Aspicot,Insecte,60,20,Combat
Coconfort,Insecte,60,20,Combat
Dardargnan,Insecte,60,20,Combat
Roucool,Vol,60,20,Combat
Roucoups,Vol,60,20,Combat
Roucarnage,Vol,60,20,Combat
Rattata,Normal,60,20,Combat
Rattatac,Normal,60,20,Combat
Piafabec,Normal,60,20,Combat
Rapasdepic,Normal,60,20,Combat
Abo,Poison,60,20,Combat
Arbok,Poison,60,20,Combat
Pikachu,Electrik,60,20,Combat
Raichu,Electrik,60,20,Combat
Sabelette,Sol,60,20,Combat
Sablaireau,Sol,60,20,Combat
Nidoran,Poison,60,20,Combat
Nidorina,Poison,60,20,Combat
Nidoqueen,Poison,60,20,Combat
Nidoran,Poison,60,20,Combat
Nidorino,Poison,60,20,Combat
Nidoking,Poison,60,20,Combat
Mélofée,Fée,60,20,Combat
Mélodelfe,Fée,60,20,Combat
Goupix,Feu,60,20,Eau
Feunard,Feu,60,20,Eau
Rondoudou,Fée,60,20,Combat
Grodoudou,Fée,60,20,Combat
Nosferapti,Poison,60,20,Combat
Nosferalto,Poison,60,20,Combat
Mystherbe,Plante,60,20,Feu
Ortide,Plante,60,20,Feu
Rafflésia,Plante,60,20,Feu
Paras,Plante,60,20,Feu
Parasect,Plante,60,20,Feu
Mimitoss,Insecte,60,20,Combat
Aéromite,Insecte,60,20,Combat
Taupiqueur,Sol,60,20,Combat
Triopikeur,Sol,60,20,Combat
Miaouss,Normal,60,20,Combat
Persian,Normal,60,20,Combat
Psykokwak,Eau,60,20,Electrik
Akwakwak,Eau,60,20,Electrik
Férosinge,Insecte,60,20,Combat
Colossinge,Insecte,60,20,Combat
Caninos,Feu,60,20,Eau
Arcanin,Feu,60,20,Eau
Ptitard,Eau,60,20,Electrik
Têtarte,Eau,60,20,Electrik
Tartard,Eau,60,20,Electrik
Abra,Electrik,60,20,Combat
Kadabra,Electrik,60,20,Combat
Alakazam,Electrik,60,20,Combat
Machoc,Combat,60,20,Psychic
Machopeur,Combat,60,20,Psychic
Mackogneur,Combat,60,20,Psychic
Chétiflor,Plante,60,20,Feu
Boustiflor,Plante,60,20,Feu
Empiflor,Plante,60,20,Feu
Tentacool,Eau,60,20,Electrik
Tentacruel,Eau,60,20,Electrik
Racaillou,Electrik,60,20,Combat
Gravalanch,Plante,60,20,Feu
Grolem,Plante,60,20,Feu
Ponyta,Plante,60,20,Feu
Galopa,Feu,60,20,Eau
Ramoloss,Feu,60,20,Eau
Flagadoss,Eau,60,20,Electrik
Magnéti,Eau,60,20,Electrik
Magnéton,Eau,60,20,Electrik
Canarticho,Electrik,60,20,Combat
Doduo,Electrik,60,20,Combat
Dodrio,Normal,60,20,Combat
Otaria,Vol,60,20,Combat
Lamantine,Vol,60,20,Combat
Tadmorv,Eau,60,20,Electrik
Grotadmorv,Eau,60,20,Electrik
Kokiyas,Poison,60,20,Combat
Crustabri,Poison,60,20,Combat
Fantominus,Eau,60,20,Electrik
Spectrum,Eau,60,20,Electrik
Ectoplasma,Spectre,60,20,Combat
Onix,Spectre,60,20,Combat
Soporifik,Spectre,60,20,Combat
Hypnomade,Roche,60,20,Combat
Krabby,Psychic,60,20,Psychic
Krabboss,Psychic,60,20,Psychic
Voltorbe,Eau,60,20,Electrik
Electrode,Eau,60,20,Electrik
Noeunoeuf,Electrik,60,20,Combat
Noadkoko,Electrik,60,20,Combat
Osselait,Normal,60,20,Combat
Ossatueur,Normal,60,20,Combat
Kicklee,Normal,60,20,Combat
Tygnon,Poison,60,20,Combat
Excelangue,Poison,60,20,Combat
Smogo,Roche,60,20,Combat
Smogogo,Roche,60,20,Combat
Rhyhorn,Normal,60,20,Combat
Rhydon,Eau,60,20,Electrik
Chansey,Eau,60,20,Electrik
Poissirène,Eau,60,20,Electrik
Poissoroy,Eau,60,20,Electrik
Stari,Psychic,60,20,Psychic
Staross,Psychic,60,20,Psychic
M. Mime,Psychic,60,20,Psychic
Insécateur,Electrik,60,20,Combat
Lippoutou,Feu,60,20,Eau
élektek,Feu,60,20,Eau
Magmar,Normal,60,20,Combat
Scarabrute,Eau,60,20,Electrik
Tauros,Eau,60,20,Electrik
Magicarpe,Eau,60,20,Electrik
Léviator,Feu,60,20,Eau
Lokhlass,Normal,60,20,Combat
Métamorph,Eau,60,20,Electrik
évoli,électrik,60,20,Combat
Aquali,Feu,60,20,Eau
Voltali,Psychic,60,20,Psychic
Pyroli,Psychic,60,20,Psychic
Porygon,Psychic,60,20,Psychic
Amonita,Psychic,60,20,Psychic
Amonistar,Psychic,60,20,Psychic
Kabuto,Psychic,60,20,Psychic
